ISO 3166-1 Alpha-2 code,Country name
AF,Афганистан
AX,
AL,Албания
DZ,Алжир
AS,
AD,Андорра
AO,Ангола
AI,
AQ,
AG,Антигуа и Барбуда
AR,Аргентина
AM,Армения
AW,
AU,Австралия
AT,Австрия
AZ,Азербайджан
BS,Багамские Острова
BH,Бахрейн
BD,Бангладеш
BB,Барбадос
BY,Беларусь
BE,Бельгия
BZ,Белиз
BJ,Бенин
BM,
BT,Бутан
BO,Боливия Многонациональное Государство
BQ,
BA,Босния и Герцеговина
BW,Ботсвана
BV,
BR,Бразилия
IO,
BN,Бруней-Даруссалам
BG,Болгария
BF,Буркина-Фасо
BI,Бурунди
KH,Камбоджа
CM,Камерун
CA,Канада
CV,Кабо-Верде
KY,
CF,Центральноафриканская Республика
TD,Чад
CL,Чили
CN,Китай
CX,
CC,
CO,Колумбия
KM,Островов
CG,Конго
CD,Демократическая Республика Конго
CK,
CR,Коста-Рика
CI,Кот-д'Ивуар
HR,Хорватия
CU,Куба
CW,
CY,Кипр
CZ,Чешская Республика
DK,Дания
DJ,Джибути
DM,Доминики
DO,Доминиканская Республика
EC,Эквадор
EG,Египет
SV,Сальвадор
GQ,Экваториальная Гвинея
ER,Эритрея
EE,Эстония
ET,Эфиопия
FK,
FO,
FJ,Фиджи
FI,Финляндская
FR,Франция
GF,
PF,
TF,
GA,Габон
GM,Гамбия
GE,Грузия
DE,Германия
GH,Гана
GI,
GR,Греция
GL,
GD,Гренада
GP,
GU,
GT,Гватемала
GG,
GN,Гвинея
GW,Гвинея-Бисау
GY,Гайана
HT,Гаити
HM,
VA,
HN,Гондурас
HK,
HU,Венгрия
IS,Исландия
IN,Индия
ID,Индонезия
IR,Иран Исламская Республика
IQ,Ирак
IE,Ирландия
IM,
IL,Израиль
IT,Италия
JM,Ямайка
JP,Япония
JE,
JO,Иордания
KZ,Казахстан
KE,Кения
KI,Кирибати
KP,Корейская Народно-Демократическая Республика
KR,Республика Корея
KW,Кувейт
KG,Кыргызстан
LA,Лаосская Народно-Демократическая Республика
LV,Латвия
LB,Ливан
LS,Лесото
LR,Либерия
LY,Ливийская Арабская Джамахирия
LI,Лихтенштейн
LT,Литва
LU,Люксембург
MO,
MK,бывшая югославская Республика Македония
MG,Мадагаскар
MW,Малави
MY,Малайзия
MV,Мальдивские Острова
ML,Мали
MT,Мальта
MH,Маршалловы Острова
MQ,
MR,Мавритания
MU,Маврикий
YT,
MX,Мексика
FM,Микронезия Федеративные Штаты
MD,Республика Молдова
MC,Монако
MN,Монголия
ME,Черногория
MS,
MA,Марокко
MZ,Мозамбик
MM,Мьянма
NA,Намибия
NR,Науру
NP,Непал
NL,Нидерландов
NC,
NZ,Новая Зеландия
NI,Никарагуа
NE,Нигер
NG,Нигерия
NU,
NF,
MP,
NO,Норвегия
PS,
OM,Оман
PK,Пакистан
PW,Палау
PA,Панама
PG,Папуа-Новая Гвинея
PY,Парагвай
PE,Перу
PH,Филиппины
PN,
PL,Польша
PT,Португалия
PR,
QA,Катар
RE,
RO,Румыния
RU,Российская Федерация
RW,Руанда
BL,
SH,
KN,Сент-Китс и Невис
LC,Сент-Люсия
MF,
PM,
VC,Сент-Винсент и Гренадины
WS,Самоа
SM,Сан-Марино
ST,Сан-Томе и Принсипи
SA,Саудовская Аравия
SN,Сенегал
RS,Сербия
SC,Сейшельские Острова
SL,Сьерра-Леоне
SG,Сингапур
SX,
SK,Словакия
SI,Словения
SB,Соломоновы Острова
SO,Сомали
ZA,Южная Африка
GS,
ES,Испания
LK,Шри-Ланка
SD,Судан
SR,Суринам
SJ,
SZ,Свазиленд
SE,Швеция
CH,Швейцарская
SY,Сирийская Арабская Республика
TW,
TJ,Таджикистан
TZ,Объединенная Республика Танзания
TH,Таиланд
TL,Тимор-Лешти
TG,Того
TK,
TO,Тонга
TT,Тринидад и Тобаго
TN,Тунис
TR,Турция
TM,Туркменистан
TC,
TV,Тувалу
UG,Уганда
UA,Украина
AE,Объединенные Арабские Эмираты
GB,Соединенное Королевство Великобритании и Северной Ирландии
US,Соединенные Штаты Америки
UM,
UY,Уругвай
UZ,Узбекистан
VU,Вануату
VE,Венесуэла Боливарианская Республика
VN,Вьетнам
VG,
VI,
WF,
EH,
YE,Йемен
ZM,Замбия
ZW,Зимбабве
SS,
